Index,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-09-04,311.0,317.75,311.0,316.5,5.5,316.5,3337.0,5319.0
2016-09-11,326.5,330.5,323.75,329.0,3.0,330.0,748.0,1900.0
2016-09-18,329.0,338.25,327.5,336.0,7.0,337.0,149706.0,755609.0
2016-09-25,336.0,338.5,333.75,335.75,0.25,336.5,138018.0,758174.0
2016-10-02,329.0,337.5,325.0,336.0,7.5,336.75,243769.0,756985.0
2016-10-09,340.75,344.75,339.5,339.5,0.75,339.75,163334.0,722211.0
2016-10-16,349.5,358.75,348.75,353.0,4.75,354.25,260828.0,694659.0
2016-10-23,351.25,354.25,350.5,351.75,1.5,352.5,104711.0,666779.0
2016-10-30,357.5,358.25,354.25,355.0,2.5,355.0,109665.0,629919.0
2016-11-06,348.0,349.75,345.5,347.5,0.75,348.75,108935.0,573811.0
2016-11-13,343.25,345.0,339.0,340.5,3.25,340.25,185910.0,451487.0
2016-11-20,342.0,346.75,340.5,345.75,3.5,345.5,151473.0,353095.0
2016-11-27,349.75,350.75,348.5,349.0,1.5,349.25,146522.0,216484.0
2016-12-04,332.75,338.0,332.75,337.5,5.75,337.5,7342.0,11913.0
2016-12-11,349.0,352.5,344.5,351.5,6.0,352.5,1723.0,4375.0
2016-12-18,356.0,359.0,353.5,356.5,0.25,356.25,102543.0,704862.0
2016-12-25,347.0,347.75,345.5,347.0,1.5,345.75,73262.0,699700.0
2017-01-01,349.5,353.0,347.75,351.5,2.25,352.0,99748.0,691924.0
2017-01-08,360.75,362.5,356.75,358.0,3.25,358.0,150425.0,677366.0
2017-01-15,357.5,359.5,355.25,358.0,0.25,358.5,153287.0,653664.0
2017-01-22,366.0,370.0,365.0,369.0,3.5,369.75,189008.0,649177.0
2017-01-29,363.25,364.25,360.5,362.75,1.25,362.5,114628.0,627698.0
2017-02-05,365.75,367.75,364.0,365.25,2.25,365.25,115702.0,569346.0
2017-02-12,368.5,375.5,368.5,374.0,5.0,374.5,233920.0,451716.0
2017-02-19,373.25,373.25,368.0,368.75,5.25,368.25,176898.0,341147.0
2017-02-26,365.75,366.75,362.5,365.0,1.5,364.0,181299.0,190325.0
2017-03-05,371.75,375.5,371.25,374.5,2.0,374.75,3778.0,11734.0
2017-03-12,360.25,360.25,356.0,358.75,1.75,358.0,1739.0,2885.0
2017-03-19,366.25,367.75,364.5,367.25,1.5,367.5,82555.0,611414.0
2017-03-26,357.0,358.0,355.25,356.25,0.5,356.25,101102.0,617530.0
2017-04-02,358.0,366.75,355.0,364.0,6.75,364.25,285282.0,581737.0
2017-04-09,360.5,361.75,357.25,360.0,1.25,359.5,199932.0,530903.0
2017-04-16,368.75,373.0,368.5,370.75,2.0,371.0,235728.0,372785.0
2017-04-23,357.5,358.75,354.25,357.0,0.75,357.0,159992.0,246807.0
2017-04-30,360.0,361.25,355.5,363.0,4.0,358.0,30659.0,23943.0
2017-05-07,359.0,365.5,359.0,361.75,3.75,361.75,2388.0,2233.0
2017-05-14,361.0,362.0,360.0,361.0,1.25,361.75,205.0,239.0
2017-05-21,366.0,373.0,366.0,371.75,6.5,372.5,190621.0,738461.0
2017-05-28,369.25,374.75,368.75,374.0,5.0,374.25,113520.0,716797.0
2017-06-04,370.5,374.75,369.5,371.75,2.25,372.75,114144.0,675785.0
2017-06-11,384.25,389.5,380.75,387.25,2.0,387.75,240618.0,547989.0
2017-06-18,378.75,384.5,377.0,383.75,4.5,384.0,194053.0,406465.0
2017-06-25,362.75,364.75,356.5,358.25,5.0,357.75,224348.0,304177.0
2017-07-02,360.0,372.5,359.5,369.75,10.75,370.5,22999.0,15308.0
2017-07-09,379.0,386.75,378.25,381.75,2.0,382.25,2865.0,2645.0
2017-07-16,369.0,369.0,369.0,369.0,4.25,365.25,132.0,252.0
2017-07-23,390.5,391.0,378.5,379.75,11.25,379.75,130249.0,545663.0
2017-07-30,373.75,377.0,373.0,374.25,1.5,374.25,59070.0,516908.0
