Timestamp,Trade Price,Trade Volume,Best Bid,Bid Size,Best Ask,Ask Size,Upper Limit,Lower Limit,Turnover,Calc VWAP,Flow
2016-06-28T15:45:36.412,,,47.90,33,47.91,7,56.33,36.33,,,
2016-06-28T15:45:36.382,,,47.90,33,47.91,8,56.33,36.33,,,
2016-06-28T15:45:36.382,47.91,1,47.90,33,47.91,9,56.33,36.33,47.91,47.85,-17422.99
2016-06-28T15:45:36.322,,,47.90,33,47.91,9,56.33,36.33,,,
2016-06-28T15:45:36.322,,,47.90,34,47.91,9,56.33,36.33,,,
2016-06-28T15:45:36.322,,,47.90,35,47.91,9,56.33,36.33,,,
2016-06-28T15:45:36.322,,,47.90,35,47.91,10,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.91,15,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.91,16,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.91,15,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.91,13,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.91,12,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.91,11,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.91,10,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.91,6,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.91,5,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.92,41,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.92,40,56.33,36.33,,,
2016-06-28T15:45:36.312,,,47.90,35,47.92,39,56.33,36.33,,,
2016-06-28T15:45:36.302,,,47.90,35,47.92,37,56.33,36.33,,,
2016-06-28T15:45:36.302,,,47.90,35,47.92,36,56.33,36.33,,,
2016-06-28T15:45:36.302,,,47.90,35,47.92,37,56.33,36.33,,,
2016-06-28T15:45:36.302,47.91,1,47.91,1,47.92,37,56.33,36.33,47.91,47.85,-17470.90
2016-06-28T15:45:36.302,,,47.91,1,47.92,37,56.33,36.33,,,
2016-06-28T15:45:36.302,47.91,3,47.91,4,47.92,37,56.33,36.33,143.73,47.85,-17518.81
2016-06-28T15:45:35.661,,,47.91,4,47.92,37,56.33,36.33,,,
2016-06-28T15:45:35.661,,,47.91,4,47.92,36,56.33,36.33,,,
2016-06-28T15:45:35.661,,,47.91,4,47.92,40,56.33,36.33,,,
2016-06-28T15:45:35.661,,,47.91,4,47.92,41,56.33,36.33,,,
2016-06-28T15:45:35.661,,,47.91,4,47.92,40,56.33,36.33,,,
2016-06-28T15:45:35.661,47.91,2,47.91,6,47.92,40,56.33,36.33,95.82,47.85,-17662.54
2016-06-28T15:45:35.661,,,47.91,6,47.92,40,56.33,36.33,,,
2016-06-28T15:45:35.661,,,47.91,6,47.92,39,56.33,36.33,,,
2016-06-28T15:45:34.271,,,47.91,6,47.92,35,56.33,36.33,,,
2016-06-28T15:45:34.011,,,47.91,5,47.92,35,56.33,36.33,,,
2016-06-28T15:45:34.011,47.91,2,47.91,7,47.92,35,56.33,36.33,95.82,47.85,-17758.36
2016-06-28T15:45:34.001,,,47.91,7,47.92,35,56.33,36.33,,,
2016-06-28T15:45:34.001,47.91,2,47.91,9,47.92,35,56.33,36.33,95.82,47.85,-17854.18
2016-06-28T15:45:33.999,,,47.91,9,47.92,35,56.33,36.33,,,
2016-06-28T15:45:33.981,47.91,1,47.91,10,47.92,35,56.33,36.33,47.91,47.85,-17950.00
2016-06-28T15:45:32.851,,,47.91,10,47.92,35,56.33,36.33,,,
2016-06-28T15:45:32.841,,,47.91,10,47.92,36,56.33,36.33,,,
2016-06-28T15:45:32.801,,,47.91,10,47.92,35,56.33,36.33,,,
2016-06-28T15:45:32.771,,,47.91,10,47.92,36,56.33,36.33,,,
2016-06-28T15:45:32.581,,,47.91,10,47.92,35,56.33,36.33,,,
2016-06-28T15:45:32.551,,,47.91,10,47.92,33,56.33,36.33,,,
2016-06-28T15:45:32.551,,,47.91,11,47.92,33,56.33,36.33,,,
2016-06-28T15:45:32.551,47.91,2,47.91,12,47.92,33,56.33,36.33,95.82,47.85,-17997.91
2016-06-28T15:45:31.840,,,47.91,12,47.92,33,56.33,36.33,,,
2016-06-28T15:45:31.840,,,47.91,12,47.92,32,56.33,36.33,,,
2016-06-28T15:45:31.751,,,47.91,12,47.92,30,56.33,36.33,,,
2016-06-28T15:45:31.740,,,47.91,12,47.92,29,56.33,36.33,,,
2016-06-28T15:45:31.740,,,47.91,13,47.92,29,56.33,36.33,,,
2016-06-28T15:45:30.631,,,47.91,16,47.92,29,56.33,36.33,,,
2016-06-28T15:45:30.631,,,47.91,16,47.92,28,56.33,36.33,,,
2016-06-28T15:45:30.611,,,47.91,17,47.92,28,56.33,36.33,,,
2016-06-28T15:45:30.611,,,47.91,17,47.92,29,56.33,36.33,,,
2016-06-28T15:45:30.601,,,47.91,17,47.92,30,56.33,36.33,,,
2016-06-28T15:45:30.601,,,47.91,17,47.92,31,56.33,36.33,,,
2016-06-28T15:45:30.601,,,47.91,16,47.92,31,56.33,36.33,,,
2016-06-28T15:45:30.601,,,47.91,16,47.92,28,56.33,36.33,,,
2016-06-28T15:45:30.601,,,47.91,16,47.92,27,56.33,36.33,,,
2016-06-28T15:45:30.590,,,47.91,16,47.92,26,56.33,36.33,,,
2016-06-28T15:45:30.590,,,47.91,16,47.92,25,56.33,36.33,,,
2016-06-28T15:45:30.590,,,47.91,16,47.92,26,56.33,36.33,,,
2016-06-28T15:45:30.581,,,47.91,15,47.92,26,56.33,36.33,,,
2016-06-28T15:45:30.571,,,47.91,15,47.92,25,56.33,36.33,,,
2016-06-28T15:45:30.571,,,47.91,15,47.92,26,56.33,36.33,,,
2016-06-28T15:45:30.571,,,47.91,15,47.92,27,56.33,36.33,,,
2016-06-28T15:45:30.571,47.91,2,47.91,16,47.92,27,56.33,36.33,95.82,47.85,-18093.73
2016-06-28T15:45:30.571,,,47.91,16,47.92,27,56.33,36.33,,,
2016-06-28T15:45:30.561,,,47.91,16,47.92,28,56.33,36.33,,,
2016-06-28T15:45:30.561,,,47.91,16,47.92,29,56.33,36.33,,,
2016-06-28T15:45:30.561,,,47.91,16,47.92,30,56.33,36.33,,,
2016-06-28T15:45:30.561,,,47.91,16,47.92,31,56.33,36.33,,,
2016-06-28T15:45:30.561,,,47.91,16,47.92,30,56.33,36.33,,,
2016-06-28T15:45:30.551,,,47.91,16,47.92,31,56.33,36.33,,,
2016-06-28T15:45:30.551,,,47.91,16,47.92,32,56.33,36.33,,,
2016-06-28T15:45:30.551,,,47.91,16,47.92,31,56.33,36.33,,,
2016-06-28T15:45:30.551,,,47.91,16,47.92,37,56.33,36.33,,,
2016-06-28T15:45:30.551,,,47.91,16,47.92,38,56.33,36.33,,,
2016-06-28T15:45:30.551,,,47.91,16,47.92,39,56.33,36.33,,,
2016-06-28T15:45:30.551,,,47.91,16,47.92,40,56.33,36.33,,,
2016-06-28T15:45:30.551,,,47.91,16,47.92,44,56.33,36.33,,,
2016-06-28T15:45:30.551,,,47.91,16,47.92,46,56.33,36.33,,,
2016-06-28T15:45:30.541,,,47.91,16,47.92,40,56.33,36.33,,,
2016-06-28T15:45:30.541,,,47.91,16,47.92,41,56.33,36.33,,,
2016-06-28T15:45:30.541,,,47.91,16,47.92,42,56.33,36.33,,,
2016-06-28T15:45:30.541,,,47.91,16,47.92,43,56.33,36.33,,,
2016-06-28T15:45:30.541,,,47.91,16,47.92,45,56.33,36.33,,,
